Timestamp,Station,District,Route,Direction of travel,Lane type,Station length,Samples,% Observed,total_flow,Delay(V_t=35),Delay(V_t=40),Delay(V_t=45),Delay(V_t=50),Delay(V-t=55),Delay(V_t=60)
5/1/2023 0:00,313080,3,50,W,ML,0.352,8409,99,40839,0,0,0,0,0,0.1
5/1/2023 0:00,313081,3,50,W,OR,,8415,99,11182,,,,,,
5/1/2023 0:00,313082,3,50,W,ML,0.154,8520,0,27079,0,0,0,0,0,0
5/1/2023 0:00,313083,3,50,W,OR,,2840,99,1514,,,,,,
5/1/2023 0:00,313084,3,50,W,FR,,5680,99,11900,,,,,,
5/1/2023 0:00,313111,3,80,E,ML,0.347,8551,100,59878,19.4,22.8,25.8,29.4,35.2,45.1
5/1/2023 0:00,313112,3,80,E,OR,,5706,100,7390,,,,,,
5/1/2023 0:00,313113,3,80,E,FR,,5706,100,10573,,,,,,
5/1/2023 0:00,313114,3,80,E,ML,0.396,11402,100,67671,23.5,27.1,30.7,34.2,39.1,49.2
5/1/2023 0:00,313115,3,80,E,OR,,5706,100,5799,,,,,,
5/1/2023 0:00,313132,3,80,E,ML,0.6,7162,95,66555,0,0,0,0,0,0.2
5/1/2023 0:00,313133,3,80,E,OR,,5232,100,7953,,,,,,
5/1/2023 0:00,313144,3,99,S,ML,0.523,0,0,65553,0.2,4.2,12.8,23.8,39,66.5
5/1/2023 0:00,313159,3,5,N,ML,1.295,2876,0,61984,0,0,0,0,0,8.7
5/1/2023 0:00,313166,3,99,N,ML,0.31,5743,100,40506,2.4,3.5,4.9,7.1,11.5,16.9
5/1/2023 0:00,313172,3,99,N,ML,0.326,5745,100,49717,1.2,2.3,3.8,5.8,11.4,20.2
5/1/2023 0:00,313178,3,99,N,ML,0.439,4993,96,28169,0.3,0.7,1.2,2.1,3.4,6.7
5/1/2023 0:00,313184,3,51,N,ML,0.139,8622,0,49189,0,0,0,0,0,0
5/1/2023 0:00,313190,3,99,N,ML,0.344,5746,100,43616,0,0,0,0.4,3.9,10
5/1/2023 0:00,313197,3,51,S,ML,0.297,11492,100,81220,71.9,86.8,100.3,112.9,124.4,137.9
5/1/2023 0:00,313204,3,51,S,ML,0.649,11493,100,73623,84.6,106.8,127.3,145.9,164.1,185.2
5/1/2023 0:00,313339,3,50,W,ML,0.457,0,0,30291,0,0,0,0,0.4,4.1
5/1/2023 0:00,313344,3,50,W,ML,0.7,5743,100,33475,0,0,0,0.7,4.9,12.1
5/1/2023 0:00,313349,3,50,W,ML,0.339,5747,100,32957,0,0,0.1,1,3.4,7.1
5/1/2023 0:00,313386,3,80,W,ML,0.598,11506,100,94931,4,6.7,11.1,15.8,20.6,25
5/1/2023 0:00,313393,3,80,E,ML,0.332,14363,100,102436,0.5,1.7,3.5,5.3,6.8,8.2
5/1/2023 0:00,313405,3,80,W,ML,0.638,11500,100,88473,82.9,90,98.2,106.7,115.5,125.4
5/1/2023 0:00,313406,3,80,E,ML,0.656,14385,100,98847,4.9,7,9.7,12.9,18.3,30.5
5/1/2023 0:00,313414,3,80,W,ML,0.479,14329,100,85627,0,0,0,0,0,0.1
5/1/2023 0:00,313420,3,80,E,ML,0.194,11467,100,89659,0,0,0,0,0,0
5/1/2023 0:00,313426,3,80,W,ML,0.003,11467,100,77682,0,0,0,0,0,0
5/1/2023 0:00,313432,3,80,E,ML,0.003,11467,100,90292,0,0,0,0,0,0
5/1/2023 0:00,313438,3,80,W,ML,0.395,11508,0,72289,0,0,0,0,0,0.1
5/1/2023 0:00,313444,3,80,E,ML,0.36,0,0,79846,0,0,0,0,0,0.7
5/1/2023 0:00,313450,3,80,W,ML,0.468,11508,0,55359,0,0,0,0,0,0.3
5/1/2023 0:00,313456,3,80,E,ML,0.401,0,0,77459,0,0,0,0,0,1.3
